"state","male","female","under_5_years","x5_to_9_years","x10_to_14_years","x15_to_19_years","x20_to_24_years","x25_to_34_years","x35_to_44_years","x45_to_54_years","x55_to_59_years","x60_to_64_years","x65_to_74_years","x75_to_84_years","x85_years_and_over","hispanic_or_latino_of_any_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","high_school_graduate_or_higher","civilian_labor_force","unemployed","unemployment_rate","agriculture_forestry_fishing_and_hunting_and_mining","construction","manufacturing","wholesale_trade","retail_trade","transportation_and_warehousing_and_utilities","information","finance_and_insurance_and_real_estate_and_rental_and_leasing","professional_scientific_and_management_and_administrative_and_waste_management_services","educational_services_and_health_care_and_social_assistance","arts_entertainment_and_recreation_and_accommodation_and_food_services","other_services_except_public_administration","public_administration","per_capita_income_dollars","with_health_insurance_coverage","no_health_insurance_coverage"
"Alabama",0.483279949665371,0.516720050334629,0.0584511903997096,0.0600579011397694,0.0647834009934359,0.0666242452609885,0.0648025722056174,0.129997746362823,0.123539903144589,0.124284725132745,0.0655280190325268,0.0676941620599671,0.103107877838589,0.0538570337443927,0.0172712226848467,0.0447252143249745,0.651200189264733,0.267748616460525,8.18923430680093e-10,0.0133005383235591,0.000310002579955682,0.596955856244461,2265089,111622,0.0492792998420813,0.00554254482205754,0.0306636745896435,0.0647958720285726,0.0117625371331219,0.0494947241210705,0.0240627606265114,0.00599998258169909,0.0251626019126124,0.0430273504649235,0.100583222775507,0.0395980187926878,0.0215184445291398,0.0243327442906335,28650,0.902768348624804,0.0972316513751956
"Alaska",0.520040462309222,0.479959537690778,0.0695664654942621,0.0720283782952518,0.0679889822225564,0.0636064767034154,0.0651169784497194,0.161272375588651,0.127176045219364,0.119865490161234,0.0667874156750439,0.0627603223315039,0.0842846304738601,0.0304355849605971,0.00911085442453984,0.0718315346287652,0.598341865503831,0.0297630357667676,2.19767820687098e-07,0.0592198702745559,0.0132801126383203,0.619193624452358,358661,20650,0.0575752590886659,0.0234310797254637,0.0315455982952002,0.0199568699239981,0.00897315280288818,0.0495896691849492,0.0457258151357662,0.00888955640065064,0.0207092375441361,0.042679505562703,0.117488367348095,0.0389885118706891,0.0245560889352369,0.0463903356891461,36978,0.877882658989022,0.122117341010978
"Arizona",0.497468853370725,0.502531146629275,0.0587613174134947,0.0612074902761022,0.0668267498241792,0.0664328617254937,0.0674568059178561,0.137605844546505,0.123446618408162,0.117202111306155,0.0611379725300489,0.0603245049917451,0.103291692752995,0.0583351434050809,0.0179708869021834,0.317444956302052,0.539822196686586,0.0438325875288186,5.54388098224249e-09,0.032313661872003,0.00183562570161747,0.595096910623122,3482170,176868,0.0507924656177039,0.00636625888373609,0.0355073135224809,0.0324285672819507,0.0105195380792151,0.0545773429284009,0.0257278076848364,0.00726160997970389,0.040314104124197,0.0578729494562026,0.100352586358958,0.0480582770854871,0.0210464722943539,0.0212211885618339,32173,0.887154084118347,0.112845915881653
"Arkansas",0.488668250158062,0.511331749841938,0.0607484780323706,0.0637181871321,0.0670606838615099,0.0680779798820599,0.0655807998133742,0.128107060630843,0.12498624827855,0.120082019905865,0.0637804840871044,0.0641433307133266,0.10054397170923,0.0537619408019871,0.0194088151516798,0.0768608564373299,0.719705786061653,0.1540842281341,1.81376189527989e-09,0.0151895219172617,0.00419941122750185,0.590317661451837,1392233,67142,0.0482261230699172,0.0123162253645114,0.0315874996118269,0.0616023919562438,0.0103989879146532,0.0578587158019521,0.0268450372578644,0.0053331605119294,0.0205866746596566,0.0335006865600305,0.108021478460107,0.0376490753379806,0.0208303798425435,0.020743294056969,27274,0.908536297220411,0.0914637027795892
"California",0.497081472738195,0.502918527261805,0.0601798334657101,0.060253810574009,0.0665492802062795,0.0644724292024774,0.0667841695467248,0.152764171228736,0.134108146737277,0.125905773512161,0.0623082128282177,0.0589984015832265,0.0858432085686498,0.0436786864662107,0.0181538760803208,0.394178834230613,0.363332657846156,0.0549700531908822,9.67388063634268e-11,0.146453693582363,0.00358992709673662,0.572895101346234,20095761,1017660,0.0506405306074251,0.0104897275551527,0.0330300230673282,0.0425915904886511,0.0132565914793536,0.0497219301884391,0.0279311939886733,0.013896246538984,0.0285263591092996,0.0692410895947623,0.103521497910345,0.0504253584344116,0.0246387846466682,0.0219420276349961,39393,0.923020943273379,0.0769790567266211
"Colorado",0.504443162527332,0.495556837472668,0.0568357361754385,0.0597704079506336,0.063628893562754,0.0634738248115559,0.0660453960730271,0.157608718302072,0.139840756721614,0.122386579277119,0.0621586056384595,0.0614518533233682,0.0911604560445209,0.0402579663315005,0.0153808057879368,0.218260222382134,0.675170558261396,0.0395593755296301,9.76466615234867e-10,0.0319155106259429,0.00116813828590163,0.637765474923664,3147670,115497,0.0366928553501479,0.0130943492627996,0.0424895029288342,0.0364411631724097,0.0128124029540629,0.0530182643653586,0.0256814776458242,0.0149775811195899,0.0355723730751691,0.0797037674700342,0.116661861633039,0.0546968777050383,0.0266600802690725,0.0235127685309079,41053,0.919940136284054,0.0800598637159464
"Connecticut",0.48909863357424,0.51090136642576,0.0506545475862112,0.0542637941910427,0.0606385965561819,0.0669427173745059,0.0672986494495394,0.124676919417707,0.119756698408852,0.134789990258849,0.0726370696103848,0.0719086570029285,0.0988865693000311,0.0527166536663107,0.0248291371774558,0.168556977320479,0.656234687417871,0.101206438640143,4.5792551153975e-10,0.0464262764820897,0.000323957089569507,0.635174952254896,1926486,102571,0.0532425358917739,0.00227339850598737,0.0323602201355389,0.0514524996286877,0.0121727828389427,0.0544096248693294,0.0228571867561306,0.00936190626314175,0.0451179976338446,0.0588656566593504,0.141020986398874,0.0473194099293169,0.024083797639649,0.0176639365019027,45359,0.941049837789175,0.0589501622108246
"Delaware",0.482958909961757,0.517041090038243,0.0557229472438907,0.0556089565849631,0.0615251744775942,0.0624032106341988,0.0589105779223713,0.131871788236164,0.116767512456817,0.121867310765237,0.0678727083769784,0.0727024207097408,0.115887422414466,0.0595534441610082,0.0193065260165707,0.0959061949301884,0.613085922256317,0.219579898209422,3.43073813904524e-09,0.0373458045275857,0.000439531549738951,0.637514839324518,488692,22631,0.0463093318490992,0.00618688426542643,0.0338422673879993,0.0333832438638279,0.00965726940602983,0.056266455313694,0.0275748710238002,0.00654971151573959,0.0465569053240455,0.0561472555830435,0.120307033411475,0.0447448602958245,0.0195278435932236,0.02657422065334,36858,0.934366955325196,0.0656330446748043
"District of Columbia",0.473759084320346,0.526240915679654,0.0641346994469705,0.0503833515881709,0.0450882679252822,0.0534906886159244,0.0711456906067171,0.232908583646594,0.154311235297535,0.105551690473525,0.0529437519571406,0.0460078583179006,0.0716784579220091,0.0363287797786465,0.016026944423584,0.112613691269842,0.372870524789975,0.441481319846008,3.39283647325588e-09,0.0401644210618789,0.000127524091426272,0.65742494852986,413742,25916,0.0626380691348715,0.00113408144427425,0.0162905775058534,0.00627620768907219,0.00195808492403808,0.0236893822701439,0.0149210664959324,0.0202526848301534,0.0336965743562652,0.136427126653929,0.109306789128322,0.0531037225146749,0.0501723373131457,0.0895134790604063,59808,0.964820506489386,0.0351794935106137
"Florida",0.488785433958894,0.511214566041106,0.0526660699867961,0.0523168711861962,0.0585837791011222,0.0565147529276478,0.058962589960013,0.128880430931806,0.121625942248944,0.126094941939181,0.068695272690973,0.0662239694992075,0.114680750583732,0.0686315322699035,0.0261230966744774,0.263697660512371,0.529779138276998,0.152385886837147,9.40978061462144e-11,0.0273472945497005,0.000648438892793966,0.637398018236279,10429967,471449,0.0452013894195447,0.0039344852735082,0.0388504483434853,0.0230493123477733,0.0122160424299172,0.0586629717107101,0.0280314528162853,0.00767423382680816,0.0361976331925904,0.0620373525826485,0.0996148750494523,0.0572935755316147,0.0242980851992057,0.0188407776801468,32887,0.868394466641174,0.131605533358826
